Property_type,Description,Location,Price,Features
Lote y casalote en venta,Parcelas Y Lotes En Zapatoca Desde 2.500m2 - La Unión Casas,"Km 3 La Casica, Zapatoca, Santander",125000000 pesos,"['2,500 m² totales']"
Casa en venta,Gran Venta De Casa En Lebrija,"Cerros De Popa, Lebrija, Santander",210549820 pesos,"['118 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Venta De Lote En Ruitoque Condominio,"Kilometro 7 Vía Bucaramanga A Piedecuesta  Sn, Floridablanca, Santander",996000000 pesos,['830 ha totales']
Apartamento en venta,Gran Venta De Apartamento En Bucaramanga,"Carrera 28 # 14-33 Edificio Multifamiliar Elim P-h Apartamento 202, Bucaramanga, Santander",285533000 pesos,"['97 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa En Lebrija,"Cerros De Popa, Lebrija, Santander",210301000 pesos,"['118 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Comercial En El Barrio San Alonso,"San Alonso, Bucaramanga, Santander",960000000 pesos,"['250 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta De Apartamento En Barrio San Alonso,"Barrio San Alonso, Bucaramanga, Santander",232818000 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta De Apartamento En Bucaramanga,"Carrera 28 # 14-33 Edificio Multifamiliar Elim P-h Apartamento 602, Bucaramanga, Santander",245120000 pesos,"['84 m² cubiertos', '3 habs.']"
Oficina en venta,Se Vende Oficina En Ed. Centro Empresarial,"Bucaramanga, Santander",243680000 pesos,['152 m² cubiertos']
Local en venta,Venta De Local En Centro Comercial Puerto Real,"Barrancabermeja, Santander",504380000 pesos,['252 m² cubiertos']
Apartamento en venta,Oportunidad De Negocio En Bucaramanga,"Barrio San Alonso, Bucaramanga, Santander",216701200 pesos,"['65 m² cubiertos', '2 habs.']"
Local en venta,Venta De Local En Condominio Cerros La Popa,"Lebrija, Santander",216855000 pesos,['80 m² cubiertos']
Apartamento en venta,Venta De Apartamento En Barrio San Alonso,"Barrio San Alonso, Bucaramanga, Santander",235898280 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Oportunidad De Negocio En Barrio San Alonso,"Barrio San Alonso, Bucaramanga, Santander",227425000 pesos,"['58 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta De Apartamento En La Ciudad De Bucaramanga,"Barrio San Alonso, Bucaramanga, Santander",216701200 pesos,"['58 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta - Bucaramanga,"Barrio San Alonso, Bucaramanga, Santander",227425000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta De Apartamento En La Ciudad De Bucaramanga,"Bucaramanga, Santander",227425000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Invierta En Apartamento -  Bucaramanga,"Barrio San Alonso, Bucaramanga, Santander",227425000 pesos,"['58 m² cubiertos', '2 habs.']"
Finca en venta,"Excelente Finca En Venta - Mogotes, Santander","Mogotes, Santander",422700000 pesos,['366 m² cubiertos']
Finca en venta,"Se Vende Casa Finca - Mogotes, Santander","Mogotes, Santander",814170000 pesos,['574 m² cubiertos']
Apartamento en venta,Excelente Apartamento En Ciudadela Real De Minas,"Ciudadela Real De Minas, Bucaramanga, Santander",230000000 pesos,"['98 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta De Apartamento -  Girón,"Calle 22 No 15-71 Conjunto Los Cedros Reserva San Jorge, Girón, Santander",167100000 pesos,"['60 m² cubiertos', '3 habs.']"
Casa en venta,Venta De Casa En Lebrija,"Lebrija, Santander",206376000 pesos,['116 m² cubiertos']
Lote y casalote en venta,"Casa Finca En Venta - Mogotes, Santander","Mogotes, Santander",972370000 pesos,"['569,010 m² totales']"
Apartamento en venta,Venta De Apartamento - Colina Ruitoque,"Tranversal 25 No 1-92 Torre 1 Etapa 1, Floridablanca, Santander",228148000 pesos,"['69 m² cubiertos', '3 habs.']"
Lote y casalote en venta,"Invierta En Lote - Curití, Santander","Curití, Santander",167960000 pesos,['98 m² totales']
Apartamento en venta,"Venta De Apartamento , Girardot","Cr, 5 No 28-23 Girardot, Bucaramanga, Bucaramanga, Santander",115000000 pesos,"['59 m² cubiertos', '3 habs.']"
Apartamento en venta,"Apartamento En Venta - Bucaramanga, Antonia Santos","Cra 26 No. 31-66 Edif. Verdetto, Antonia Santos, Bucaramanga, Santander",193800000 pesos,"['54 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta De Apartamento En Pablo Nuevo,"Barrancabermeja, Santander",215000000 pesos,"['58 m² cubiertos', '3 habs.']"
Apartamento en venta,"Venta De Apartamento - Bucaramanga, Los Comuneros","Cr. 20 No. 8 - 36 Ed. Multifamiliar El Rubí, Los Comuneros, Bucaramanga, Santander",126200000 pesos,"['51 m² cubiertos', '2 habs.']"
Lote y casalote en venta,"Se Vende Lote En Pichote , Santander","Pinchote, Santander",442112000 pesos,"['2,512 m² totales']"
Lote y casalote en venta,Venta De Lote En Lebrija,"Lebrija, Santander",820000000 pesos,"['5,000 m² totales']"
Apartamento en venta,"Venta De Apartamento, La Universidad","Ed. Torre Panoramic Cr. 28# 11 A 27  La Universidad, Bucaramanga, Santander",180000000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En Alarcon,"Alarcón, Bucaramanga, Santander",270000000 pesos,"['70 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta De Apartamento En Palomitas,"Floridablanca, Santander",175000000 pesos,"['63 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta De Apartamento En El Recreo,"Barrancabermeja, Santander",212900000 pesos,"['64 m² cubiertos', '2 habs.']"
Lote y casalote en venta,"Excelente Lote En Venta - Pichote, Santander","Pinchote, Santander",441760000 pesos,"['2,510 m² totales']"
Apartamento en venta,Venta De Apartamento En Lagos I,"Floridablanca, Santander",244000000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,"Venta De Apartamento, Lagos I","Dg 31a No. 29-30 Edificio Le Parc Urbanización Lagos, Floridablanca, Santander",279000000 pesos,"['72 m² cubiertos', '3 habs.']"
Apartamento en venta,Oportunidad De Negocio En El Barrio Alarcon,"Alarcón, Bucaramanga, Santander",231000000 pesos,"['66 m² cubiertos', '3 habs.']"
Oficina en venta,Oficina En Venta - Bucaramanga,"Bucaramanga, Santander",2286392400 pesos,['538 m² cubiertos']
Lote y casalote en venta,"Invierta En Lote - Mogotes, Santander","Mogotes, Santander",442464000 pesos,"['2,514 m² totales']"
Apartamento en venta,Venta De Apartamento -  Buenavista,"Buenavista, Floridablanca, Santander",213000000 pesos,"['69 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta De Apartamento El Recreo,"Cl 195 No. 27-156 Conjunto Bellomonte Ph, Floridablanca, Santander",239000000 pesos,"['58 m² cubiertos', '2 habs.']"
Lote y casalote en venta,"Venta Eds Puerto Araujo, Cimitarra Santander","Cimitarra, Santander",4500000000 pesos,"['10,000 m² totales']"
Lote y casalote en venta,"Ruitoque Condominio,  Lote En Venta   Oportinidad , 500m2","Via Bucaramanga A Piedecuesta  Sn, Floridablanca, Santander",580000000 pesos,['500 ha totales']
Finca en venta,Casa Campestre Bucaramanga Santander,"Molino 111, Piedecuesta, Santander",850000000 pesos,"['300 m² cubiertos', '5 habs.']"
Casa en venta,"Casa Barrio Buenos Aires Alto,esquinera,amplia,bien Ubicada","Calle 46 #19-87, Barrancabermeja, Santander",300000000 pesos,"['170 m² cubiertos', '4 habs.']"
Apartamento en venta,"Financiación Directa Del 40% , Apartamento Como Nuevo Excelente Oportunidad.","Carrera 1e, Piedecuesta, Santander, Colombia, Piedecuesta, Santander",100000000 pesos,"['41 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartaestudio,"Carrera 6 #14-11, Socorro, Santander",85000000 pesos,"['38 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento Altos De Cacique,"Circunvalar 36a Nro 104-131 Conjunto Tatika Apto 1204 #104-131, Urbanización Altos Del Cacique, Bucaramanga, Santander",278000000 pesos,"['83 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento El Vivero Club Barrancabermeja Permuta,"Calle 37  52-252, Barrancabermeja, Santander",150000000 pesos,"['69 m² cubiertos', '2 habs.']"
Lote y casalote en venta,"2.200 Metros, Lote Comercial Con Bodega Directamente","Kilometro 13 Via Piedecuesta #5-55, Piedecuesta, Santander",4400000000 pesos,"['2,200 ha totales']"
Lote y casalote en venta,Lote Para Parcela Mesa De Los Santos Vía Tabacal,"Vía Tabacal  8 M, Los Santos, Santander",55999999 pesos,['1 ha totales']
Casa en venta,Casa/lote,"Diagonal 58  Portal De Israel  # 139-23, Floridablanca, Santander",135000000 pesos,['50 m² cubiertos']
Finca en venta,"Finca En Venta Vereda El Litoral, Con Vista A Embalse Topocoro - Represa Hidrosogamoso","San Vicente De Chucurí, Santander, Colombia, Yarima, San Vicente De Chucurí, Santander",185000000 pesos,"['40 m² cubiertos', '2 habs.']"
Lote y casalote en venta,Lote Ubicado En El Alto De Curos,"W2r3+p5 Piedecuesta, Santander, Colombia, Piedecuesta, Santander",170000000 pesos,"['3,200 m² totales']"
Casa en venta,Venta De Casa Campestre / Parcela,"Torres Cigarras 60-168, Ciudadela Real De Minas, Bucaramanga, Santander",580000000 pesos,"['200 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Parcelas Ecoturísticas,"Vereda Parra Y Juan Rodríguez Sn, Tona, Santander",50000000 pesos,"['2,500 ha totales']"
Casa en venta,"Casa Tres Niveles, Dos Garajes, Conjunto Monte Mayor, La Flo","65 #49-23, La Floresta, Bucaramanga, Santander",350000000 pesos,"['120 m² cubiertos', '5 habs.']"
Casa en venta,Venta Casa Vista Campestre Cañaveral Estrato 5 - 140 M2,"Cra 25a #148-20, Floridablanca, Santander",430000000 pesos,"['130 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Venta De Lotes Campestres En Barbosa Santander,"Cra 70 #73a-43, Barbosa, Santander",42000000 pesos,"['42,000,000 ha totales']"
Casa en venta,Vendo Casa Porvenir,"Calle 104i Sn, El Porvenir, Bucaramanga, Santander",275000000 pesos,"['133 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Se Venden Terrenos Vía San Gil Y Aratoca,"7occidente #19-08, San Gil, Santander",25000000 pesos,['600 ha totales']
Apartamento en venta,Apartamento Barato 95.millones,"Piedecuesta  3102234791, Piedecuesta, Santander",95000000 pesos,"['68 m² cubiertos', '3 habs.']"
Finca en venta,Finca En Puente Nacional Santander Aproximadamente 15000 M2,"A Menos De Un Km Del Ramal *las Diosas"" Ouente Nacional Sn, Puente Nacional, Santander",200000000 pesos,"['15,000 m² cubiertos']"
Finca en venta,Se Vende Finca De 5 Hectáreas  En San Vicente De Chucuri,"San Vicente #300-400, Yarima, San Vicente De Chucurí, Santander",350000000 pesos,"['5,000 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento Con 4 Habitaciónes,"Sector 7casa 6c #sn-sn, Piedecuesta, Santander",80000000 pesos,"['90 m² cubiertos', '4 habs.']"
Casa en venta,"Casa Esquinera, 3 Habitaciónes, 1 Baño, Sala, Patio","Transversal 44d 57b-30, Barrancabermeja, Santander",130000000 pesos,"['72 m² cubiertos', '3 habs.']"
Casa en venta,"Hermosa Casa, Buen Precio. Negociable","Cra 46 Sn, Vélez, Santander",580000000 pesos,"['100 m² cubiertos', '5 habs.']"
Apartamento en venta,"Aparta Estudio, 5 Piso Bucaramanga","Carrera 22 Entre Calles 33 Y 34 Sn, Antonia Santos, Bucaramanga, Santander",95000000 pesos,"['28 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento Muy Economico Y Amplio,"55 12, Floridablanca, Santander",79000000 pesos,"['65 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Apartamento  Centro Alto De Bucaramanga.85 Metros 3 Ha,"Calle 35 22-43, Antonia Santos, Bucaramanga, Santander",210000000 pesos,"['85 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa En El Barrio Mutis,"Calle 62 #7 Oeste-45, Bucaramanga, Santander, Colombia, Prados Del Mutis, Bucaramanga, Santander",325000000 pesos,"['164 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento Cr Portal De La Loma,"Calle 23 #4-50, Piedecuesta, Santander, Colombia, Piedecuesta, Santander",180000000 pesos,"['61 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Económica,"Detrás Del Colegio #sn-sn, Café Madrid, Bucaramanga, Santander",52000000 pesos,"['72 m² cubiertos', '2 habs.']"
Lote y casalote en venta,"Vendo Parcela En La Mesa De Los Santos, Área 2533 M2, Condominio Vacacional El Recreo","Qvhw+gq Los Santos, Santander, Colombia, Los Santos, Santander",175000000 pesos,"['2,533 m² totales']"
Lote y casalote en venta,Lote Ruitoque Bajo - Acapulco.¡leer Descripción!,"Ruitoque Bajo  #sn-sn, Floridablanca, Santander",230000000 pesos,"['1,250 ha totales']"
Apartamento en venta,Apartamento Dimanti,"Avenida 87, Bucaramanga, Santander, Colombia, Diamante Ii, Bucaramanga, Santander",250000000 pesos,"['77 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lote Villa Gloria,"La Fuente, Los Santos, Santander, Colombia, Los Santos, Santander",335000000 pesos,"['6,700 m² totales']"
Lote y casalote en venta,Venta O Permuta Magnífico Lote De 3.000m2 Totalmente Plano.,"Vía Guatiguara  0, Piedecuesta, Santander",700000000 pesos,"['3,000 ha totales']"
Apartamento en venta,Vendo Apartamento Para Estrenar Puerto Madero Giron,"11111111 Sn, 12 De Octubre, Bucaramanga, Santander",105000000 pesos,"['42 m² cubiertos', '2 habs.']"
Casa en venta,Casa Dos Apartamento Independientes,"Calle 8 40 Sn, Floridablanca, Santander",250000000 pesos,"['80 m² cubiertos', '6 habs.']"
Finca en venta,"Parcela, Con Cultivo En Producción De Cacao A 40 Minutos De Bucaramanga,santander","Bucaramanga, Santander, Colombia, Colorados, Bucaramanga, Santander",130000000 pesos,['3 ha totales']
Lote y casalote en venta,Lotes De Terrenos,"Piedecuesta, Santander, Colombia, Piedecuesta, Santander",170000000 pesos,"['1,500 m² totales']"
Apartamento en venta,Venta De Apartamento De 3 Habitaciones 2 Baño  Para Estrena,"Calle 9 # 4 05 301 4792962, El Playón, Santander",150000000 pesos,"['54 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Fosil Sta. Barbara Barichara,"Centro Historico, Barichara, Santander",970000000 pesos,"['174 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Madrigal Barichara Vda. Llano,"Zona Rural, Barichara, Santander",520000000 pesos,"['116 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Higueras Barichara Caracoli,"Zona Rural, Barichara, Santander",190000000 pesos,"['5,042 m² totales']"
Lote y casalote en venta,Vendo Lote 4 Condominio La Pradera Barichara Vda Llano - 2.522 Mts2,"Zona Rural, Barichara, Santander",220000000 pesos,"['2,522 m² totales']"
Lote y casalote en venta,Parcela De 1000 Mts Cuadrados En Piedecuesta Santander,"Kra 4  #114.32, Piedecuesta, Santander",160000000 pesos,"['1,000 ha totales']"
Lote y casalote en venta,Venta O Permuta Lote Ruitoque Condominio Ruitoque Parkhouse,"Transversal Metropolitana Ruitoque Bajo – Floridablanca  Km 4.9 Vía Acapulco Lote, Floridablanca, Santander",460000000 pesos,['369 m² totales']
Casa en venta,Apartamentos Vis Y No-vis Junto Al Centro Comercial San Gil Plaza,"Hr3w+4q San Gil, Santander, Colombia, San Gil, Santander",112000000 pesos,"['53 m² cubiertos', '2 habs.']"
Casa en venta,Casa Altos De Terrazas Remodelada 3 Niveles Apreciosderemate,"Carrera 48 53-56, Terrazas, Bucaramanga, Santander",720000000 pesos,"['243 m² cubiertos', '4 habs.']"
Casa en venta,Vendo Casa- Apartamento 67 Mts Con Placa Para 3 Pisos Mas,"12 3b - 22, Barbosa, Santander",195000000 pesos,"['67 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento Penthouse Duplex En Bucaramanga,"31 28-38, La Aurora, Bucaramanga, Santander",360000000 pesos,"['140 m² cubiertos', '3 habs.']"
Finca en venta,Hermosa Finca En Albania Santander Con Casa,"Corregimiento La Mesa  Albania, Albania, Santander",225000000 pesos,"['140,000 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta De Apartamento En Exclusivo Barrio De Bucaramanga 246 Mt2,"Carrera 37  # 52-145, Cabecera Del Llano, Bucaramanga, Santander",720000000 pesos,"['246 m² cubiertos', '3 habs.']"
Apartamento en venta,Espectacular Apartamento En Mediterrane Royal-floridablanca,"Cr.12 N- 200-14, Floridablanca, Santander",335000000 pesos,"['86 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Portanova,"Carrera 6 20-35, Piedecuesta, Santander",215000000 pesos,"['79 m² cubiertos', '3 habs.']"
Casa en venta,Casa A 1 Cuadra Parque Principal De Curiti,"Cl. 8 #10-12, Curiti, Curití, Santander, Colombia, Curití, Santander",650000000 pesos,"['246 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta San Alonso Señorial,"San Alonso, Bucaramanga, Santander",220000000 pesos,"['64 m² cubiertos', '2 habs.']"
Apartamento en venta,Tamaca Cerca Clínicas Grandes Superficies Vista Espectacular,"Carrera 21 158, Floridablanca, Santander",550000000 pesos,"['127 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Gangazo Vendo Parsela A 5 Min De Lebrija,"1 Sn, Lebrija, Santander",198000000 pesos,[]
Apartamento en venta,Cesion De Derechos Apartamento Cañaveral Junto A Foscal,"Tv. El Bosque #23, Floridablanca, Santander, Colombia, Floridablanca, Santander",360000000 pesos,"['71 m² cubiertos', '3 habs.']"
Finca en venta,Se Vende Finca En Zapatoca Santander,"Carrera 7 B #10-38, Zapatoca, Santander",800000000 pesos,"['800 m² cubiertos', '3 habs.']"
Finca en venta,"Finca De 14 Hectareas Con Cacao Y Potreros, Peceras Grandes","15 #0-0, La Fortuna, Sabana De Torres, Santander",80000000 pesos,"['14 m² cubiertos', '2 habs.']"
Finca en venta,"Finca De 5.500m2 En Puente Nacional, Santander","Vereda Alto Semisa Sn, Puente Nacional, Santander",450000000 pesos,"['5,500 m² cubiertos', '6 habs.']"
Finca en venta,Vendo Finca A 10 Minutos Del Socorro Santander Vía A Bogotá,"Vereda La Chapa El Placer, Socorro, Santander",340000000 pesos,"['15,000 m² cubiertos', '3 habs.']"
Finca en venta,Se Vende Finca Mesa De Los Santos. A Solo 1km De Panachi,"Conjunto Bosques Del Cañon De Chicamocha Vereda Tabacal, Los Santos, Santander",450000000 pesos,"['180 m² cubiertos', '6 habs.']"
Casa en venta,Venta De Casa Esquinera 100 M2 1 Piso Floresta Baja Bja,"Cll 61a Sn, Barrancabermeja, Santander",185000000 pesos,"['100 m² cubiertos', '3 habs.']"
Finca en venta,"Vendo Hermosa Casa De Campo, Mesa De Los Santos, Jacuzzi","Alto Vientro Country House  Casa 52, Los Santos, Santander",580000000 pesos,"['300 m² cubiertos', '5 habs.']"
Negocio en venta,"Vendo Negocio/papeleria,miscelanea,cafe Internet","Carrera 4 0-33 Palermo 2, Piedecuesta, Santander",18000000 pesos,['30 m² cubiertos']
Finca en venta,Maravillosa Parcela En San Gil Santander,"Vereda Boquerón, San Gil, Santander, Colombia, San Gil, Santander",100000000 pesos,"['1 m² cubiertos', '1 hab.']"
Casa en venta,Casa 3 Habitaciones Barrio Recreo,"Calle 48 Sn, Barrancabermeja, Santander",330000000 pesos,"['101 m² cubiertos', '3 habs.']"
Finca en venta,"Se Vende Hermosa Parcela, Dos Hectáreas Y Media En El Olival","Rural Olival Sn, Oiba, Santander",100000000 pesos,"['25,000 ha totales']"
Finca en venta,Finca En Tonac Con 5 Hectareas,"Kilometro 20  Caragua, Tona, Santander",350000000 pesos,"['500 m² cubiertos', '2 habs.']"
Casa en venta,Vendo Casa Estoraques Carrizal Girón,"Diagonal 54 Sn, Girón, Santander",100000000 pesos,"['52 m² cubiertos', '2 habs.']"
Negocio en venta,Se Vende Restaurante,"Cra 3 #2-21, Chimita, Bucaramanga, Santander",80000000 pesos,[]
Casa en venta,"Casa Negociable Excelente Estado, Barato Gangas","Calle 20 8-22, Socorro, Santander",680000000 pesos,"['294 m² cubiertos', '4 habs.']"
Casa en venta,"Venta O Permuta De Espectacular Casa Nueva Velez, Santander","Kra 3 Este 11 36, Vélez, Santander",180000000 pesos,"['104 m² cubiertos', '3 habs.']"
Finca en venta,Se Vende Finca,"El Playon Santander  Sn, Santander, Bucaramanga",295000000 pesos,"['21,000 m² cubiertos', '2 habs.']"
Casa en venta,Vendo Casa Esquinera Grande Barrio San Martin.,"...  .., San Gil, Santander",160000000 pesos,['3 habs.']
Casa en venta,Venta De Casa En El Barrio San Bernardo-floridablanca,"Calle 104 B #41 A-22, Floridablanca, Santander",110000000 pesos,"['40 m² cubiertos', '3 habs.']"
Finca en venta,55.000 Metros Cuadrados Entre Pinchote Y San Gil,"Vía Principal Entre Socorro Y San Gil  0, Pinchote, Santander",180000 pesos,"['55,000 m² cubiertos']"
Lote y casalote en venta,Conjunto Chicamocha Real - Mesa De Los Santos,"Condominio Chicamocha Real  Lote 35, Piedecuesta, Santander",200000000 pesos,"['2,500 ha totales']"
Finca en venta,"Finca Con Cítricos, Cacaotera, Platanera Y Ganadera.","Valparaiso Vereda Sn, Landázuri, Santander",550000000 pesos,"['410,000 m² cubiertos', '4 habs.']"
Apartamento en venta,Vendo Apartamento Edificio Irazu Nuevo Sotomayor,"23 48, Sotomayor, Bucaramanga, Santander",350000000 pesos,"['120 m² cubiertos', '3 habs.']"
Casa en venta,Casa En El Rocio,"10 17, El Rocío, Bucaramanga, Santander",240000000 pesos,"['1 m² cubiertos', '5 habs.']"
Casa en venta,Venta Casa 2 Pisos,"23c 107-30, Provenza, Bucaramanga, Santander",370000000 pesos,"['149 m² cubiertos', '4 habs.']"
Negocio en venta,Oportunidad Única! Restaurante Posicionado Bucaramanga!,"Calle 20 #29-57, San Alonso, Bucaramanga, Santander",100000000 pesos,['100 m² cubiertos']
Otro inmueble en venta,Parcela Con Vivienda  (lote Con Vivienda) En La Vereda El Guamo Parte Alta.,"Piedecuesta-el Molino, Piedecuesta, Santander, Colombia, Piedecuesta, Santander",100000000 pesos,['35 m² cubiertos']
Finca en venta,Permuto  O Vendo Finca En Santander,"10 #10-10, Landázuri, Santander",320000000 pesos,"['11,000 m² cubiertos', '8 habs.']"
Apartamento en venta,Venta De Apartamento En Conjunto Residencial Cipreses - Bucarica - Floridablanca,"Cra. 6 #2-03, Floridablanca, Santander, Colombia, Floridablanca, Santander",145000000 pesos,"['57 m² cubiertos', '3 habs.']"
Bodega en venta,Venta Planta Purificadora De Agua,"Calle 12 N 9-39 #sn-sn, Barbosa, Santander",950000000 pesos,['162 m² cubiertos']
Lote y casalote en venta,Lote Esquinero En San Gil Santander,"Calle 32c #69, San Gil, Santander",47000000 pesos,['72 ha totales']
Finca en venta,Finca Ganadera En Cimitarra 50 Hectáreas,"Calle 8 #13-00, Cimitarra, Santander",450000000 pesos,"['50,000 m² cubiertos', '1 hab.']"
Apartamento en venta,Excelente Oportunidad Venta De Apartamento,"1 Sur 23-65, San Gil, Santander",125000000 pesos,"['64 m² cubiertos', '3 habs.']"
Apartamento en venta,"Apartamento Con 3 Habitaciones, 2 Baños Y Espacio De Parqueo","35 #8-35, Alfonso López I Etapa, Bucaramanga, Santander",175000000 pesos,"['57 m² cubiertos', '3 habs.']"
Casa en venta,Casa Campestre 5 Habitaciones 3 Baños Venta-permuta,"Estadio De Floridablanca Sn, Floridablanca, Santander",650000000 pesos,"['230 m² cubiertos', '5 habs.']"
Apartamento en venta,"Venta, Remate,apartamento En El Poblado Giron, $120.000. 000","Kr26#48-09 Piso 2 Sn, Girón, Santander",120000000 pesos,"['83 m² cubiertos', '3 habs.']"
Casa en venta,Venta Casa Real De Minas,"Calle 21 Sn, Ciudadela Real De Minas, Bucaramanga, Santander",350000000 pesos,"['170 m² cubiertos', '6 habs.']"
Lote y casalote en venta,Lotes Urbanos En Guane-barichara,"Kra 6-7-08 - Guane- Barichara, Barichara, Santander",50000000 pesos,['2 ha totales']
Apartamento en venta,Apartamento Rivera Del Prado,"Carrera 34 #34, El Prado, Bucaramanga, Santander",250000000 pesos,"['55 m² cubiertos', '2 habs.']"
Casa en venta,Hermosa Casa Lagos Del Cacique,"Circunvalar 36 A #104-25, Lagos Del Cacique, Bucaramanga, Santander",1200000000 pesos,"['299 m² cubiertos', '4 habs.']"
Apartamento en venta,"Apartamento Fresco,venta,permuta Por Apto, Negociable","9 908, San Gil, Santander",350000000 pesos,"['157 m² cubiertos', '3 habs.']"
Finca en venta,Finca Terreno Parcela De 6 Hectáreas,"Vereda Alta Cruz, Simacota, Santander, Colombia, Hato, Santander",85000000 pesos,['6 ha totales']
Lote y casalote en venta,Vendo Lote 2500m2 Mesa De Los Santos,"Vía Al Teleférico Sn, Los Santos, Santander",185000000 pesos,"['2,500 ha totales']"
Apartamento en venta,"Vendo Apartamento En Plaza Mayor, Fresco Y Ubicación Central","Carrera 7, Calle 61, Samanes, Bucaramanga, Santander #sn-sn, Ciudadela Real De Minas, Bucaramanga, Santander",155000000 pesos,"['77 m² cubiertos', '2 habs.']"
Casa en venta,"Casa Familiar De 3 Pisos, Villa Cañaveral","Carrera 24  #35-200, Floridablanca, Santander",480000000 pesos,"['170 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta De Apartamento Unidad Residencial Camelot Apt 601 Torre 2,"Calle 8 #3-190, Piedecuesta, Santander, Colombia, Piedecuesta, Santander",180000000 pesos,"['70 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa De 3 Pisos En Ciudadela Real De Minas,"Diagonal 58a #35-09, Ciudadela Real De Minas, Bucaramanga, Santander",230000000 pesos,"['90 m² cubiertos', '4 habs.']"
Lote y casalote en venta,Se Vende O Se Permuta,"131 Sn, Colorados, Bucaramanga, Santander",55000000 pesos,['130 ha totales']
Casa en venta,Venta Casa Buganvilia Floridablanca Santander,"Carrera 26 #35-31, Floridablanca, Santander",640000000 pesos,"['164 m² cubiertos', '3 habs.']"
Finca en venta,Vendo Finca Via Surata Vereda San Francisco Escuela Matajira,"Via Surata 001, Matanza, Santander",250000000 pesos,"['800 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En San Gil Zona Céntrica,"Carrera 8 # 9 - 111, San Gil, Santander",270000000 pesos,"['131 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta Apartamento 2 Piso,"Carrera 8 #28a-43, San Gil, Santander",135000000 pesos,"['86 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lote Mesa De Los Santos,"Km 33 Sn, Los Santos, Santander",159000000 pesos,"['1,700 ha totales']"
Apartamento en venta,Hermosos Aptos En Venta San Gil,"Calle 28 #5a-11, San Gil, Santander",135000000 pesos,"['96 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta De Apartamento Conjunto Santa Mónica Del Tejar,"Calle 100 #36-42, Bucaramanga, Santander, Colombia, Bucaramanga, Santander",210000000 pesos,"['64 m² cubiertos', '3 habs.']"
Finca en venta,"Finca En Venta, Santander","Betulia, Santander, Colombia, Betulia, Santander",350000000 pesos,"['120 m² cubiertos', '4 habs.']"
Casa en venta,"Casa De 140 M2 En Piedecuesta, Excelente Ubicación","Cra 15c  3 - 33, Piedecuesta, Santander",280000000 pesos,"['122 m² cubiertos', '3 habs.']"
Apartamento en venta,"Apartamento Con 5 Ambientes, Dos Habitaciones Y Dos Baños","Calle 8a #6-10 3, Floridablanca, Santander",108000000 pesos,"['37 m² cubiertos', '2 habs.']"
