Property_type,Description,Location,Price,Features
Finca en venta,"Hermosa Finca Con Panoramica 360°,lista Para Estrenar.","Puente Nacional, Santander",259000489 pesos,"['100 m² cubiertos', '2 habs.']"
Finca en venta,"Venta Hermosa Finca Ganadera, Puerto Parra","Puerto Parra, Santander",6528000000 pesos,"['400 m² cubiertos', '12 habs.']"
Casa en venta,Casa Condominio En Venta En Floridablanca Ruitoque Condominio,"Floridablanca, Santander",5000000000 pesos,"['680 m² cubiertos', '5 habs.']"
Casa en venta,Vendemos Hermosa Casa En Villas De Santa Sofia,"Real De Minas, Bucaramanga, Santander",250000000 pesos,"['110 m² cubiertos', '4 habs.']"
Finca en venta,Vendo Finca Mi Alegria Barichara - Vereda Paramito,"Zona Rural, Barichara, Santander",370000000 pesos,"['100 m² cubiertos', '2 habs.']"
Apartamento en venta,En Bucaramanga De Entrega Inmediata,"Bucaramanga, Santander",131000000 pesos,"['50 m² cubiertos', '3 habs.']"
Casa en venta,Vendo casa Terrazas De Menzuly- Piedecuesta,"Bucaramanga, Santander",1700000000 pesos,"['400 m² cubiertos', '4 habs.']"
Finca en venta,Se Vende Finca Ganadera 77.5 Hectareas,"A 4.5 Km De La Via, Guadalupe, Santander",1100000000 pesos,"['770,000 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Floridablanca Lagos Ii,"Floridablanca, Santander",170000000 pesos,"['70 m² cubiertos', '4 habs.']"
Casa en venta,Casa Provenza,"Provenza, Bucaramanga, Santander",350000000 pesos,"['188 m² cubiertos', '4 habs.']"
Casa en venta,Vendo Casa En El Barrio De Cabecera,"Cabecera, Bucaramanga, Santander",3000000000 pesos,"['1,200 m² cubiertos', '5 habs.']"
Casa en venta,Vendo Hermosisima Mansion En San Gil,"San Gil, Santander",3000000000 pesos,"['840 m² cubiertos', '5 habs.']"
Finca en venta,Vendo Finca En Conjunto Quintas Del Chicamocha Enla Mesa De Los Santos,"Mesa De Los Santos, Piedecuesta, Santander",300000000 pesos,"['1,250 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento 2 Habitaciones Provenza Económico Oportunidad,"Provenza, Bucaramanga, Santander",95000000 pesos,"['42 m² cubiertos', '2 habs.']"
Apartamento en venta,"En Venta Apartamento Conjunto Parque Real, Real De Minas","Real De Minas, Bucaramanga, Santander",180000000 pesos,"['80 m² cubiertos', '4 habs.']"
Apartamento en venta,Conjunto Residencial Torres De Cañaveral I Etapa,"Cañaveral, Floridablanca, Santander",540000000 pesos,"['181 m² cubiertos', '4 habs.']"
Casa en venta,Venta Casa En  Barichara - La Cantera Esquina,"Centro Historico, Barichara, Santander",250000000 pesos,"['140 m² cubiertos', '4 habs.']"
Casa en venta,Vendo Casa En El Barrio Altos Del Cacique,"Altos Del Cacique, Bucaramanga, Santander",250000000 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Alvarez,"Alvarez, Bucaramanga, Santander",280000000 pesos,"['92 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga San Luís,"12 De Octubre, Bucaramanga, Santander",360000000 pesos,"['200 m² cubiertos', '5 habs.']"
Apartamento en venta,Se Vende Penthouse Bucaramanga 268 Mts Pisos 19 Y 20,"Alvarez, Bucaramanga, Santander",900000000 pesos,"['268 m² cubiertos', '5 habs.']"
Lote y casalote en venta,Venta Lote En Barichara - 3 Parcelas Caraquitas,"Zona Rural, Barichara, Santander",90000000 pesos,"['2,800 m² totales']"
Casa en venta,Excelente Casa Cerca A Cañaveral,"La Zafra, Floridablanca, Santander",398000000 pesos,"['113 m² cubiertos', '5 habs.']"
Apartamento en venta,Vendo O Arriendo Excelente  apartamento Edificio Opus- Bucaramanga,"Bucaramanga, Santander",380000000 pesos,"['94 m² cubiertos', '3 habs.']"
Casa en venta,Casa Villa Real Del Sur,"Villa Real Del Sur, Floridablanca, Santander",120000000 pesos,"['59 m² cubiertos', '3 habs.']"
Casa en venta,Vendemos Casa En El Barrio Manzanares,"Manzanares, Bucaramanga, Santander",250000000 pesos,"['110 m² cubiertos', '4 habs.']"
Casa en venta,Casa En Venta En Piedecuesta,"Piedecuesta, Santander",850000000 pesos,"['850 m² cubiertos', '2 habs.']"
Casa en venta,En Venta La Mejor Casa De Lagos Del Cacique,"Lagos Del Cacique, Bucaramanga, Santander",2950000000 pesos,"['576 m² cubiertos', '5 habs.']"
Finca en venta,Vendo Finca La Floresta Barichara Vereda Santa Helena,"Zona Rural, Barichara, Santander",1225000000 pesos,"['175,109 m² cubiertos']"
Finca en venta,Venta De Finca Cafetera En Zapatoca Santander 140 Hectáreas,"Zapatoca, Santander",4500000000 pesos,"['500 m² cubiertos', '9 habs.']"
Finca en venta,Se Vende Finca Ganadera En Guadalupe Santander,"Oiba, Santander",1050000000 pesos,"['700,000 m² cubiertos', '2 habs.']"
Apartamento en venta,Vendo Casa En Piedecuesta (habitares De La Macarena),"Macarena, Piedecuesta, Santander",255000000 pesos,"['78 m² cubiertos', '3 habs.']"
Casa en venta,Casa Condominio En Venta En Floridablanca Ruitoque Condominio,"Floridablanca, Santander",2500000000 pesos,"['380 m² cubiertos', '5 habs.']"
Apartamento en venta,Venta Apartamentos Conucos Bucaramanga Proyecto Santo Angel,"Conucos, Bucaramanga, Santander",465000000 pesos,"['93 m² cubiertos', '3 habs.']"
Casa en venta,Casa Campestre En  Venta,"Lagos Del Cacique, Bucaramanga, Santander",1150000000 pesos,"['248 m² cubiertos', '4 habs.']"
Casa en venta,Casa Condominio En Venta En Piedecuesta Santillana Campestre,"Piedecuesta, Santander",1900000000 pesos,"['700 m² cubiertos', '5 habs.']"
Lote y casalote en venta,Parcelas En Ruitoque Bajo. Santander Se Vende,"2v46+x8 Girón, Santander, Colombia, Girón, Santander",375000000 pesos,"['1,250 m² totales']"
Casa en venta,Venta Casa Villasantiago Barichara,"Villa Santiago, Barichara, Santander",400000000 pesos,"['193 m² cubiertos', '4 habs.']"
Apartamento en venta,Espectacular Apartamento En Casa Puyana Cabecera,"Cabecera, Bucaramanga, Santander",630000000 pesos,"['125 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartaestudio En Venta En Bucaramanga Comuneros,"Comuneros, Bucaramanga, Santander",110000000 pesos,"['60 m² cubiertos', '1 hab.']"
Casa en venta,Vendo Casa En Condominio Bosques Ruitoque,"Ruitoque, Floridablanca, Santander",3600000000 pesos,"['700 m² cubiertos', '6 habs.']"
Lote y casalote en venta,Parcela De 300m2 A 5 Min De San Gil Vía Bucaramanga,"Vía San Gil -bucaramanga, San Gil, Santander",76000000 pesos,['300 m² totales']
Casa en venta,Se Vende Casa De Dos Niveles En Bariloche,"Bariloche, Piedecuesta, Santander",210000000 pesos,"['108 m² cubiertos', '5 habs.']"
Casa en venta,Se Vende Casa Remodelada En Tarragona,"Floridablanca, Floridablanca, Santander",280000000 pesos,"['108 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Floridablanca Villabel,"Floridablanca, Santander",190000000 pesos,"['150 m² cubiertos', '5 habs.']"
Finca en venta,Vendo Finca La Laguna Barichara - Vda Arbolito,"Zona Rural, Barichara, Santander",700000000 pesos,"['78,377 m² cubiertos']"
Casa en venta,Casa En Venta En Piedecuesta Bosque De Piedecuesta,"Piedecuesta, Santander",165000000 pesos,"['80 m² cubiertos', '3 habs.']"
Finca en venta,Se Vende Finca En Puerto Araujo (ruta Del Sol),"Cimitarra, Santander",5160000000 pesos,"['4,300,000 m² cubiertos']"
Casa en venta,Venta Casa Altos De Cañaveral Campestre Económica,"Cañaveral, Floridablanca, Santander",520000000 pesos,"['214 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Fontana,"12 De Octubre, Bucaramanga, Santander",300000000 pesos,"['120 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamentos Sobre Planos Proyecto Reserva 103 Coaviconsa,"Coaviconsa, Bucaramanga, Santander",245000000 pesos,"['65 m² cubiertos', '3 habs.']"
Finca en venta,Vendo Finca Higueritas Barichara-villanueva,"Zona Rural, Barichara, Santander",900000000 pesos,"['117,300 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartametno En Bosques De La Florida,"Limoncito, Floridablanca, Santander",160000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,"Edificio Portobello  Centro, Bucaramanga","Centro, Bucaramanga, Santander",165000000 pesos,"['70 m² cubiertos', '3 habs.']"
Apartamento en venta,Se Vende Apartamento En San Lorenzo Reserva,"Provenza, Bucaramanga, Santander",238000000 pesos,"['77 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Provenza,"12 De Octubre, Bucaramanga, Santander",360000000 pesos,"['180 m² cubiertos', '6 habs.']"
Lote y casalote en venta,Vendo Lote Villavalejo Barichara Vda. Chagüete 1.830 Mts2,"Zona Rural, Barichara, Santander",45000000 pesos,"['1,830 m² totales']"
Casa en venta,Casa En Venta En Piedecuesta Paseo Del Puente Ii,"Piedecuesta, Santander",170000000 pesos,"['140 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Floresta,"12 De Octubre, Bucaramanga, Santander",210000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento Conjunto Residencial Torres Del Campo,"Barro Blanco, Piedecuesta, Santander",120000000 pesos,"['58 m² cubiertos', '2 habs.']"
Lote y casalote en venta,Vendo Lote 15q Bagari Barichara - Conjunto Guane,"Bagari, Barichara, Santander",82000000 pesos,['120 m² totales']
Casa en venta,Casa En Venta En Giron Villa Campestre,"Girón, Santander",180000000 pesos,"['120 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Cabecera,"Cabecera Del Llano, Bucaramanga, Santander",430000000 pesos,"['102 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta Apartamentos Sobre Planos Sotomayor Bucaramanga,"Sotomayor, Bucaramanga, Santander",465211000 pesos,"['93 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento Cañaveral Se Escuchan Ofertas,"Cañaveral Occidental, Floridablanca, Santander",215000000 pesos,"['79 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartaestudio En Venta - Alarcón - Bucaramanga,"Alarcón, Bucaramanga, Santander",127000000 pesos,"['34 m² cubiertos', '1 hab.']"
Casa en venta,Vendo Finca Bellavista Barichara Vda. Sta Helena 2.500 Mts2,"Zona Rural, Barichara, Santander",300000000 pesos,"['150 m² cubiertos', '3 habs.']"
